contract_id,apply_dts,apply_amount,apply_month,login_origin,mobile_company,net_age,reapply_cnt,is_night_apply,is_workday_apply,is_worktime_apply,tg_location1,cid_prov_lvl,address_length,bank_prov_lvl,mobile_segment,age,gender,regaud_diffdays,login_diffdays,mobile_prov_lvl,job_type,mobile_cardmobile,addrcity_mobilecity,addrcity_compcity,mobilecity_compcity,cidcity_bankcity,rela1_lvl,rela2_lvl,rela3_lvl,addrcity_bankcity,target,tg_location,mobile_segment_2num
29586,297.0,2000.0,3,1,2,,2,0,1,1,sdzj,,27,2.0,182,35,1,2307477.0,73,2.0,2,1,1,1,1,0,3.0,1.0,2.0,1,0,6.0,18
38586,5502.0,3000.0,3,1,1,63.0,2,0,1,1,sdzj,,34,2.0,155,22,1,2673542.0,82,2.0,1,1,1,1,1,0,2.0,1.0,1.0,1,0,6.0,15
805,661.0,5000.0,6,1,3,,1,0,0,1,xygj,2.0,24,3.0,181,33,0,661.0,75,3.0,3,0,1,1,1,0,3.0,1.0,1.0,1,0,5.0,18
17864,55647.0,2000.0,3,1,2,13.0,1,0,0,1,huchilvxing,3.0,40,2.0,150,34,1,55647.0,78,3.0,3,1,1,1,1,0,1.0,1.0,1.0,0,1,1.0,15
10872,175.0,5000.0,6,1,2,12.0,2,0,0,0,xygj,3.0,38,3.0,187,26,1,4165845.0,95,3.0,1,1,1,1,1,1,1.0,1.0,1.0,1,0,5.0,18
722,267.0,5000.0,6,1,1,,1,0,1,0,xygj,3.0,46,3.0,155,22,1,267.0,89,3.0,1,1,1,1,1,0,2.0,1.0,1.0,1,0,5.0,15
13304,186.0,5000.0,3,1,2,,2,0,1,1,xygj,3.0,27,3.0,188,24,1,256892.0,71,3.0,1,1,0,1,0,0,1.0,1.0,2.0,0,0,5.0,18
20979,4094.0,5000.0,3,1,2,52.0,1,0,1,1,sdzj,4.0,19,1.0,158,28,1,4421.0,80,1.0,1,1,1,1,1,0,2.0,1.0,1.0,0,1,6.0,15
9424,398.0,5000.0,6,1,2,,1,0,1,1,sdzj,3.0,45,3.0,152,26,1,398.0,72,3.0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,6.0,15
21839,6322155.0,3000.0,3,1,3,19.0,1,0,1,1,wtnsu,3.0,42,3.0,181,28,0,6322155.0,80,3.0,1,1,1,1,1,1,2.0,1.0,1.0,1,1,4.0,18
22795,435240.0,2000.0,6,1,1,30.0,1,0,1,1,jieba,2.0,33,2.0,156,35,1,435240.0,72,2.0,1,1,1,1,1,0,3.0,1.0,1.0,1,0,3.0,15
5133,677.0,2000.0,1,2,2,,1,0,0,0,,2.0,34,2.0,187,23,1,692.0,76,2.0,1,1,1,1,1,0,1.0,1.0,1.0,0,0,,18
20779,264684.0,2000.0,3,1,2,25.0,1,0,1,1,huchilvxing,2.0,33,2.0,147,27,1,264684.0,84,2.0,1,0,1,1,1,0,3.0,1.0,1.0,0,1,1.0,14
7923,29342.0,5000.0,6,1,2,,1,1,1,0,xjbka,2.0,35,2.0,159,24,1,29342.0,101,2.0,1,1,1,1,1,1,1.0,1.0,1.0,1,0,4.0,15
4533,1026.0,5000.0,3,3,2,,1,0,1,0,,3.0,24,3.0,136,37,1,1032.0,106,3.0,1,1,0,1,0,0,3.0,1.0,1.0,1,0,,13
37089,266.0,3000.0,6,1,2,28.0,1,1,1,0,rongyitui,4.0,33,4.0,187,22,1,266.0,67,4.0,1,1,0,1,0,1,2.0,1.0,2.0,1,1,3.0,18
17642,885.0,5000.0,6,1,2,,1,0,0,1,jieba,3.0,32,3.0,152,37,1,886.0,84,3.0,2,1,1,1,1,1,3.0,1.0,1.0,1,0,3.0,15
38020,64.0,1000.0,1,1,2,120.0,1,0,1,0,tqb,3.0,33,3.0,138,33,1,3375445.0,68,3.0,3,1,1,1,1,1,3.0,1.0,1.0,1,1,3.0,13
3752,614.0,5000.0,3,2,1,,1,0,1,1,,3.0,20,3.0,186,28,1,630.0,81,1.0,1,1,0,1,0,0,1.0,1.0,2.0,0,0,,18
12987,30911.0,2000.0,1,3,2,14.0,1,0,1,1,yingyongbao,3.0,45,3.0,152,33,1,30923.0,93,3.0,2,1,1,1,1,0,3.0,1.0,1.0,1,0,4.0,15
7065,1277.0,1000.0,1,2,2,,2,0,1,0,,4.0,29,4.0,135,28,1,1300.0,102,4.0,1,1,1,1,1,0,1.0,1.0,1.0,0,0,,13
34864,1971.0,5000.0,3,1,2,,2,0,0,0,zhixindu,,40,4.0,187,29,1,2680850.0,70,4.0,2,1,1,1,1,0,1.0,1.0,1.0,1,0,1.0,18
24937,1057.0,3000.0,3,1,2,,1,0,1,1,xjbka,4.0,52,1.0,151,28,1,1057.0,78,1.0,1,1,1,1,1,0,3.0,1.0,1.0,1,1,4.0,15
